LINEA,ESTACION,DESDE,TOTAL
LINEA_A,CASTRO BARROS,23:00:00,0.909090909091
LINEA_A,CASTRO BARROS,23:15:00,2.0
LINEA_A,CONGRESO,05:00:00,3.71008403361
LINEA_A,CONGRESO,05:15:00,7.91358024691
LINEA_A,CONGRESO,05:30:00,7.71193415638
LINEA_A,CONGRESO,05:45:00,11.3606557377
LINEA_A,CONGRESO,06:00:00,15.9139344262
LINEA_A,CONGRESO,06:15:00,22.9426229508
LINEA_A,CONGRESO,06:30:00,32.9917695473
LINEA_A,CONGRESO,06:45:00,39.2016460905
LINEA_A,CONGRESO,07:00:00,59.4672131148
LINEA_A,CONGRESO,07:15:00,78.5368852459
LINEA_A,CONGRESO,07:30:00,94.4674796748
LINEA_A,CONGRESO,07:45:00,90.7596899225
LINEA_A,CONGRESO,08:00:00,87.8565891473
LINEA_A,CONGRESO,08:15:00,101.988372093
LINEA_A,CONGRESO,08:30:00,125.131782946
LINEA_A,CONGRESO,08:45:00,125.364341085
LINEA_A,CONGRESO,09:00:00,119.050387597
LINEA_A,CONGRESO,09:15:00,128.791505792
LINEA_A,CONGRESO,09:30:00,141.872093023
LINEA_A,CONGRESO,09:45:00,148.937984496
LINEA_A,CONGRESO,10:00:00,152.472868217
LINEA_A,CONGRESO,10:15:00,161.034883721
LINEA_A,CONGRESO,10:30:00,170.763565891
LINEA_A,CONGRESO,10:45:00,174.054263566
LINEA_A,CONGRESO,11:00:00,187.251937984
LINEA_A,CONGRESO,11:15:00,197.0
LINEA_A,CONGRESO,11:30:00,206.573643411
LINEA_A,CONGRESO,11:45:00,213.845559846
LINEA_A,CONGRESO,12:00:00,232.185328185
LINEA_A,CONGRESO,12:15:00,239.451737452
LINEA_A,CONGRESO,12:30:00,241.521235521
LINEA_A,CONGRESO,12:45:00,257.664092664
LINEA_A,CONGRESO,13:00:00,283.691119691
LINEA_A,CONGRESO,13:15:00,267.28957529
LINEA_A,CONGRESO,13:30:00,260.953667954
LINEA_A,CONGRESO,13:45:00,263.557692308
LINEA_A,CONGRESO,14:00:00,302.030769231
LINEA_A,CONGRESO,14:15:00,286.05
LINEA_A,CONGRESO,14:30:00,276.457692308
LINEA_A,CONGRESO,14:45:00,273.907692308
LINEA_A,CONGRESO,15:00:00,339.292307692
LINEA_A,CONGRESO,15:15:00,312.592307692
LINEA_A,CONGRESO,15:30:00,291.580769231
LINEA_A,CONGRESO,15:45:00,283.942307692
LINEA_A,CONGRESO,16:00:00,337.930501931
LINEA_A,CONGRESO,16:15:00,319.961389961
LINEA_A,CONGRESO,16:30:00,298.544401544
LINEA_A,CONGRESO,16:45:00,306.177606178
LINEA_A,CONGRESO,17:00:00,357.992277992
LINEA_A,CONGRESO,17:15:00,331.849420849
LINEA_A,CONGRESO,17:30:00,301.281853282
LINEA_A,CONGRESO,17:45:00,284.815384615
LINEA_A,CONGRESO,18:00:00,372.65
LINEA_A,CONGRESO,18:15:00,310.526923077
LINEA_A,CONGRESO,18:30:00,270.584615385
LINEA_A,CONGRESO,18:45:00,249.640926641
LINEA_A,CONGRESO,19:00:00,274.103846154
LINEA_A,CONGRESO,19:15:00,260.619230769
LINEA_A,CONGRESO,19:30:00,247.405405405
LINEA_A,CONGRESO,19:45:00,235.293436293
LINEA_A,CONGRESO,20:00:00,265.923076923
LINEA_A,CONGRESO,20:15:00,228.95
LINEA_A,CONGRESO,20:30:00,189.976923077
LINEA_A,CONGRESO,20:45:00,162.015444015
LINEA_A,CONGRESO,21:00:00,198.984555985
LINEA_A,CONGRESO,21:15:00,156.312741313
LINEA_A,CONGRESO,21:30:00,134.845559846
LINEA_A,CONGRESO,21:45:00,100.411538462
LINEA_A,CONGRESO,22:00:00,101.903846154
LINEA_A,CONGRESO,22:15:00,66.8307692308
LINEA_A,CONGRESO,22:30:00,43.972972973
LINEA_A,CONGRESO,22:45:00,20.0081300813
LINEA_A,CONGRESO,23:00:00,2.40740740741
LINEA_A,FLORES,05:00:00,11.4754098361
LINEA_A,FLORES,05:15:00,13.7459016393
LINEA_A,FLORES,05:30:00,17.0327868852
LINEA_A,FLORES,05:45:00,23.8483606557
LINEA_A,FLORES,06:00:00,44.0450819672
LINEA_A,FLORES,06:15:00,62.2418032787
LINEA_A,FLORES,06:30:00,79.6803278689
LINEA_A,FLORES,06:45:00,122.595918367
LINEA_A,FLORES,07:00:00,192.0
LINEA_A,FLORES,07:15:00,264.248979592
LINEA_A,FLORES,07:30:00,296.866396761
LINEA_A,FLORES,07:45:00,339.891472868
LINEA_A,FLORES,08:00:00,452.123552124
LINEA_A,FLORES,08:15:00,516.077220077
LINEA_A,FLORES,08:30:00,469.888030888
LINEA_A,FLORES,08:45:00,413.027027027
LINEA_A,FLORES,09:00:00,375.003861004
LINEA_A,FLORES,09:15:00,355.356589147
LINEA_A,FLORES,09:30:00,299.573643411
LINEA_A,FLORES,09:45:00,245.513513514
LINEA_A,FLORES,10:00:00,214.162162162
LINEA_A,FLORES,10:15:00,214.480620155
LINEA_A,FLORES,10:30:00,206.0
LINEA_A,FLORES,10:45:00,192.590733591
LINEA_A,FLORES,11:00:00,183.351351351
LINEA_A,FLORES,11:15:00,191.749034749
LINEA_A,FLORES,11:30:00,180.980694981
LINEA_A,FLORES,11:45:00,171.698841699
LINEA_A,FLORES,12:00:00,186.108108108
LINEA_A,FLORES,12:15:00,190.926640927
LINEA_A,FLORES,12:30:00,185.19379845
LINEA_A,FLORES,12:45:00,177.146718147
LINEA_A,FLORES,13:00:00,191.258687259
LINEA_A,FLORES,13:15:00,189.602316602
LINEA_A,FLORES,13:30:00,186.664092664
LINEA_A,FLORES,13:45:00,160.426923077
LINEA_A,FLORES,14:00:00,169.396153846
LINEA_A,FLORES,14:15:00,166.680769231
LINEA_A,FLORES,14:30:00,148.588461538
LINEA_A,FLORES,14:45:00,136.719230769
LINEA_A,FLORES,15:00:00,141.269230769
LINEA_A,FLORES,15:15:00,144.711538462
LINEA_A,FLORES,15:30:00,138.480769231
LINEA_A,FLORES,15:45:00,133.792307692
LINEA_A,FLORES,16:00:00,139.811538462
LINEA_A,FLORES,16:15:00,146.838461538
LINEA_A,FLORES,16:30:00,154.638461538
LINEA_A,FLORES,16:45:00,144.161538462
LINEA_A,FLORES,17:00:00,155.165384615
LINEA_A,FLORES,17:15:00,165.623076923
LINEA_A,FLORES,17:30:00,162.938461538
LINEA_A,FLORES,17:45:00,153.346153846
LINEA_A,FLORES,18:00:00,161.223076923
LINEA_A,FLORES,18:15:00,151.737451737
LINEA_A,FLORES,18:30:00,127.787644788
